iter	F1	Logloss
0	0.6282841209	0.6837333607
1	0.6282166744	0.676449882
2	0.6273198939	0.669472708
3	0.6269279252	0.663947571
4	0.6276084825	0.6592909485
5	0.6281208122	0.654860646
6	0.6286965424	0.6510155502
7	0.6298551199	0.6475643555
8	0.6295172959	0.645613463
9	0.6295515713	0.6435619602
10	0.6291724789	0.6421357887
11	0.6290926828	0.6401382474
12	0.629174778	0.6385479088
13	0.6291457192	0.637491262
14	0.629451057	0.6364287765
15	0.6293991933	0.6351392299
16	0.6295558534	0.6345128563
17	0.6295991709	0.6336589027
18	0.6296717706	0.6326435301
19	0.6297000047	0.6319187575
20	0.6296046375	0.631296228
21	0.6296433751	0.6306250051
22	0.6296733468	0.6301961157
23	0.6295323992	0.6296346812
24	0.6296133928	0.6291896751
25	0.6310822119	0.6286473883
26	0.6318097881	0.627983434
27	0.6327621701	0.6275646775
28	0.6345377084	0.6271761665
29	0.6386652268	0.6267943001
30	0.641701339	0.6264277514
31	0.6470703772	0.6261070459
32	0.648147675	0.6258374767
33	0.6509943874	0.6255227671
34	0.6537043466	0.6251377328
35	0.6553594661	0.6247327788
36	0.6578463034	0.6244219071
37	0.6582694547	0.6243917844
38	0.6584481024	0.6241913751
39	0.6586083307	0.6239674229
40	0.6590618441	0.6239385886
41	0.6609707484	0.6236925763
42	0.6619213072	0.6235465828
43	0.6618279994	0.6233168597
44	0.6628607545	0.6231126672
45	0.6634751491	0.6228742647
46	0.6642165922	0.6226370791
47	0.6650843157	0.6224213992
48	0.6656190053	0.6222361757
49	0.6673887343	0.6217369885
50	0.6683145732	0.6215066656
51	0.6683108029	0.6212852018
52	0.6683498322	0.6211746924
53	0.6688779522	0.6210067686
54	0.6686907931	0.6209193635
55	0.6691466084	0.6208198484
56	0.6693652886	0.620744349
57	0.6695524222	0.6206103942
58	0.670053425	0.6204575905
59	0.6700246637	0.6203850938
60	0.6705214012	0.6202694307
61	0.6704595545	0.6201679745
62	0.6707479711	0.6200718337
63	0.6703627993	0.6199899981
64	0.6703340583	0.6198694201
65	0.6707761763	0.6197888503
66	0.6715943662	0.6195623766
67	0.6717760233	0.6194523174
68	0.6719542299	0.6192454637
69	0.6721773819	0.6192004556
70	0.6723011005	0.6191817169
71	0.6722477999	0.6191149794
72	0.6721522871	0.6189987833
73	0.6724488373	0.6188636347
74	0.6722676638	0.6187503454
75	0.6726016546	0.6186361212
76	0.6727502502	0.6185504089
77	0.6726761747	0.618457326
78	0.6730589427	0.618195257
79	0.6732027499	0.618119085
80	0.673227408	0.6181054765
81	0.6735683714	0.6179593296
82	0.6735601585	0.6178132156
83	0.6735847897	0.6177951777
84	0.6738802155	0.6176970744
85	0.6741510425	0.6176233289
86	0.6743803722	0.6175281177
