iter	Passed	Remaining
0	6	6542
1	10	5009
2	12	4219
3	20	5182
4	25	5092
5	29	4958
6	32	4634
7	39	4905
8	45	4977
9	47	4734
10	54	4918
11	55	4603
12	58	4478
13	61	4301
14	64	4235
15	66	4090
16	73	4265
17	75	4115
18	76	3953
19	79	3908
20	86	4014
21	90	4030
22	93	3963
23	99	4028
24	102	3984
25	105	3950
26	109	3931
27	115	4013
28	120	4031
29	121	3937
30	127	3997
31	131	3970
32	132	3887
33	133	3802
34	139	3858
35	142	3812
36	143	3741
37	145	3670
38	146	3603
39	150	3602
40	156	3660
41	158	3619
42	161	3588
43	167	3629
44	174	3701
45	181	3759
46	187	3803
47	190	3772
48	191	3713
49	197	3749
50	205	3816
51	206	3761
52	208	3726
53	213	3732
54	216	3713
55	218	3682
56	225	3736
57	231	3765
58	238	3803
59	245	3846
60	250	3859
61	254	3850
62	260	3871
63	264	3867
64	267	3851
65	273	3875
66	278	3878
67	283	3883
68	291	3931
69	293	3905
70	298	3907
71	305	3940
72	311	3949
73	312	3915
74	317	3918
75	319	3890
76	326	3916
77	333	3940
78	336	3927
79	343	3951
80	350	3981
81	352	3943
82	354	3917
83	361	3943
84	365	3930
85	370	3941
86	376	3950
87	379	3936
88	381	3900
89	387	3921
90	395	3948
91	396	3915
92	403	3935
93	410	3951
94	417	3974
95	418	3945
96	420	3917
97	422	3886
98	430	3915
99	437	3939
100	441	3926
101	447	3939
102	454	3956
103	461	3975
104	462	3944
105	468	3954
106	471	3935
107	479	3962
108	482	3942
109	489	3957
110	490	3928
111	495	3932
112	497	3902
113	504	3917
114	511	3934
115	518	3949
116	525	3967
117	532	3981
118	533	3953
119	542	3975
120	546	3972
121	549	3954
122	557	3971
123	564	3986
124	572	4004
125	573	3977
126	581	3994
127	582	3968
128	586	3958
129	593	3972
130	600	3984
131	608	3998
132	615	4014
133	623	4026
134	630	4037
135	634	4033
136	642	4047
137	649	4056
138	657	4072
139	664	4082
140	671	4093
141	679	4107
142	687	4120
143	694	4126
144	701	4138
145	709	4148
146	716	4158
147	718	4133
148	721	4120
149	729	4134
150	737	4143
151	743	4149
152	751	4160
153	759	4172
154	766	4178
155	774	4190
156	781	4198
157	786	4193
158	794	4202
159	801	4206
160	808	4215
161	816	4221
162	824	4232
163	832	4241
164	839	4246
165	846	4252
166	854	4261
167	861	4265
168	869	4276
169	876	4280
170	884	4287
171	892	4298
172	900	4303
173	906	4304
174	914	4309
175	921	4314
176	929	4321
177	936	4326
178	944	4331
179	952	4339
180	960	4345
181	967	4347
182	974	4352
183	982	4358
184	990	4363
185	998	4368
186	1005	4371
187	1012	4374
188	1020	4377
189	1027	4381
190	1035	4387
191	1043	4391
192	1047	4379
193	1055	4383
194	1058	4370
195	1066	4374
196	1073	4375
197	1080	4378
198	1088	4381
199	1095	4383
200	1099	4371
201	1103	4357
202	1107	4349
203	1115	4352
204	1122	4354
205	1130	4355
206	1137	4355
207	1144	4357
208	1151	4357
209	1155	4345
210	1162	4345
211	1169	4348
212	1177	4351
213	1184	4352
214	1192	4354
215	1199	4354
216	1203	4341
217	1211	4344
218	1219	4350
219	1228	4354
220	1236	4357
221	1243	4356
222	1250	4358
223	1257	4357
224	1264	4356
225	1272	4359
226	1274	4338
227	1281	4338
228	1288	4337
229	1295	4336
230	1302	4337
231	1310	4338
232	1318	4338
233	1325	4338
234	1332	4337
235	1340	4339
236	1348	4341
237	1355	4340
238	1362	4338
239	1370	4338
240	1377	4337
